date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,205.3,206.0,202.34,205.61,3650155
2025-06-17 00:00:00+05:30,205.89,207.0,204.13,204.77,9087952
2025-06-18 00:00:00+05:30,204.77,208.4,204.6,207.08,7999769
2025-06-19 00:00:00+05:30,207.3,209.53,203.26,203.92,10671945
2025-06-20 00:00:00+05:30,204.75,208.0,203.55,207.51,9350809
2025-06-23 00:00:00+05:30,205.33,208.4,205.33,206.95,3500913
2025-06-24 00:00:00+05:30,208.49,209.95,207.4,209.22,4740437
2025-06-25 00:00:00+05:30,210.0,211.6,209.26,210.4,8025612
2025-06-26 00:00:00+05:30,211.68,211.68,205.76,210.02,12688408
2025-06-27 00:00:00+05:30,210.98,210.98,207.28,208.39,31963885
2025-06-30 00:00:00+05:30,211.5,214.4,210.01,213.12,13990271
2025-07-01 00:00:00+05:30,214.35,219.45,211.6,218.72,16637063
2025-07-02 00:00:00+05:30,220.0,220.0,216.17,217.75,11463228
2025-07-03 00:00:00+05:30,217.75,217.95,216.06,216.99,4618576
2025-07-04 00:00:00+05:30,216.99,218.25,214.05,215.32,5120183
2025-07-07 00:00:00+05:30,215.51,217.2,214.78,215.05,4643396
2025-07-08 00:00:00+05:30,215.5,215.6,213.03,213.5,5404402
2025-07-09 00:00:00+05:30,213.61,214.58,212.72,213.89,4586061
2025-07-10 00:00:00+05:30,213.15,214.68,210.2,210.98,3952305
2025-07-11 00:00:00+05:30,210.98,211.8,206.76,207.38,4009049
2025-07-14 00:00:00+05:30,207.0,211.4,206.39,210.57,5690671
2025-07-15 00:00:00+05:30,211.0,212.78,210.2,211.67,5149486
2025-07-16 00:00:00+05:30,211.67,215.4,211.67,214.69,8125748
2025-07-17 00:00:00+05:30,214.67,216.8,211.97,212.59,5632702
2025-07-18 00:00:00+05:30,212.58,213.32,211.1,212.47,6478635
2025-07-21 00:00:00+05:30,212.45,213.5,209.84,212.78,4607473
2025-07-22 00:00:00+05:30,213.25,214.0,211.61,212.4,5385123
2025-07-23 00:00:00+05:30,212.49,213.5,211.7,212.81,5401894
2025-07-24 00:00:00+05:30,212.97,215.18,212.22,212.7,6465529
2025-07-25 00:00:00+05:30,212.25,213.09,207.25,208.14,6563450
2025-07-28 00:00:00+05:30,207.9,210.43,205.7,206.0,8456565
2025-07-29 00:00:00+05:30,205.67,207.1,203.63,205.21,10354388
2025-07-30 00:00:00+05:30,205.21,205.76,202.76,204.68,5616031
2025-07-31 00:00:00+05:30,203.0,204.73,201.14,202.43,8617317
2025-08-01 00:00:00+05:30,202.68,202.92,194.41,196.06,10948324
2025-08-04 00:00:00+05:30,185.8,197.04,185.11,196.46,39513112
2025-08-05 00:00:00+05:30,195.48,196.9,194.08,196.04,5819712
2025-08-06 00:00:00+05:30,196.48,197.76,194.6,197.37,7011622
2025-08-07 00:00:00+05:30,195.61,199.27,195.0,198.63,6357907
2025-08-08 00:00:00+05:30,198.6,199.73,195.76,196.35,7038453
2025-08-11 00:00:00+05:30,196.35,198.0,195.65,196.69,8062362
2025-08-12 00:00:00+05:30,197.0,197.25,195.57,195.98,5218014
2025-08-13 00:00:00+05:30,197.0,197.9,195.44,196.19,6992167
2025-08-14 00:00:00+05:30,196.39,196.68,194.99,195.86,2679922
2025-08-18 00:00:00+05:30,197.4,197.65,194.84,195.79,6237845
2025-08-19 00:00:00+05:30,196.69,200.55,195.3,200.05,5129740
2025-08-20 00:00:00+05:30,200.5,201.24,199.22,199.71,5498900
2025-08-21 00:00:00+05:30,199.5,201.0,199.0,199.43,6033820
2025-08-22 00:00:00+05:30,198.99,199.42,196.0,196.34,2466153
2025-08-25 00:00:00+05:30,196.34,197.9,194.57,195.01,6443184
2025-08-26 00:00:00+05:30,194.79,195.99,191.91,192.46,6681812
2025-08-28 00:00:00+05:30,191.5,192.68,190.5,191.76,7746254
2025-08-29 00:00:00+05:30,191.3,193.86,191.12,191.71,4184028
2025-09-01 00:00:00+05:30,191.71,194.1,191.71,193.58,4546443
2025-09-02 00:00:00+05:30,193.58,195.41,193.04,193.56,3069260
2025-09-03 00:00:00+05:30,193.5,194.67,192.76,193.23,8091723
2025-09-04 00:00:00+05:30,194.47,194.67,188.4,189.9,7767020
2025-09-05 00:00:00+05:30,191.0,191.09,189.11,190.52,4068142
2025-09-08 00:00:00+05:30,190.0,191.97,189.28,190.62,9815612
2025-09-09 00:00:00+05:30,190.99,192.05,189.91,191.63,3712535
2025-09-10 00:00:00+05:30,192.0,196.9,191.72,196.08,5427537
2025-09-11 00:00:00+05:30,196.08,198.2,195.2,196.65,4449153
2025-09-12 00:00:00+05:30,196.65,196.96,193.88,194.36,4795808
