date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,243.45,243.99,235.2,237.08,863652
2025-06-17 00:00:00+05:30,237.98,247.3,237.95,242.27,1855601
2025-06-18 00:00:00+05:30,242.27,242.94,237.05,237.55,371224
2025-06-19 00:00:00+05:30,238.0,238.79,229.55,230.89,409218
2025-06-20 00:00:00+05:30,230.89,234.99,229.04,233.73,396473
2025-06-23 00:00:00+05:30,233.65,236.1,231.57,233.81,386108
2025-06-24 00:00:00+05:30,236.1,236.17,231.51,232.6,366098
2025-06-25 00:00:00+05:30,233.78,240.48,233.78,239.69,546965
2025-06-26 00:00:00+05:30,239.91,240.8,236.11,237.11,213064
2025-06-27 00:00:00+05:30,237.4,242.24,237.4,241.63,408099
2025-06-30 00:00:00+05:30,241.75,246.36,240.0,243.59,610775
2025-07-01 00:00:00+05:30,244.8,251.0,241.62,242.84,659849
2025-07-02 00:00:00+05:30,242.99,243.8,238.16,240.52,344383
2025-07-03 00:00:00+05:30,240.52,241.9,238.75,240.88,244749
2025-07-04 00:00:00+05:30,240.55,240.88,236.0,236.78,308893
2025-07-07 00:00:00+05:30,236.78,236.79,230.0,230.53,618857
2025-07-08 00:00:00+05:30,230.53,237.31,230.53,232.0,656179
2025-07-09 00:00:00+05:30,232.0,234.55,228.16,232.31,496853
2025-07-10 00:00:00+05:30,233.41,235.92,232.42,233.9,463573
2025-07-11 00:00:00+05:30,233.46,237.55,233.0,236.25,307350
2025-07-14 00:00:00+05:30,238.2,238.5,235.0,237.42,392621
2025-07-15 00:00:00+05:30,237.42,238.95,235.52,236.38,196796
2025-07-16 00:00:00+05:30,236.38,238.0,231.54,236.2,506242
2025-07-17 00:00:00+05:30,236.2,238.7,235.39,237.53,221010
2025-07-18 00:00:00+05:30,238.6,240.0,232.18,234.62,304930
2025-07-21 00:00:00+05:30,236.77,236.77,232.0,232.89,191668
2025-07-22 00:00:00+05:30,232.95,234.5,230.58,231.9,365996
2025-07-23 00:00:00+05:30,232.0,233.44,228.86,232.43,279565
2025-07-24 00:00:00+05:30,232.43,234.56,229.9,232.35,286854
