date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,86.8,87.33,83.1,84.72,25066209
2025-06-17 00:00:00+05:30,84.75,85.28,81.69,81.91,15580565
2025-06-18 00:00:00+05:30,81.85,83.48,80.88,82.37,10430180
2025-06-19 00:00:00+05:30,82.24,82.84,79.1,79.37,12181342
2025-06-20 00:00:00+05:30,79.37,82.11,79.37,81.72,11071127
2025-06-23 00:00:00+05:30,80.41,82.59,80.41,81.74,9518730
2025-06-24 00:00:00+05:30,82.5,84.95,82.5,83.65,12343549
2025-06-25 00:00:00+05:30,84.2,87.6,83.45,87.15,18286736
2025-06-26 00:00:00+05:30,87.5,88.43,86.28,87.52,11087468
2025-06-27 00:00:00+05:30,87.5,88.26,86.74,86.96,7323723
2025-06-30 00:00:00+05:30,86.95,88.02,86.25,86.54,5610455
2025-07-01 00:00:00+05:30,86.59,87.17,85.11,86.01,5733399
2025-07-02 00:00:00+05:30,86.05,86.69,84.9,85.68,5560812
2025-07-03 00:00:00+05:30,85.64,86.23,84.31,84.52,7003892
2025-07-04 00:00:00+05:30,84.51,85.7,83.85,84.6,6232012
2025-07-07 00:00:00+05:30,84.5,85.11,83.2,83.35,5172632
2025-07-08 00:00:00+05:30,83.35,83.88,82.41,83.09,5612934
2025-07-09 00:00:00+05:30,83.1,83.85,82.25,82.5,7747345
2025-07-10 00:00:00+05:30,82.9,83.42,81.58,82.15,5965343
2025-07-11 00:00:00+05:30,82.01,82.86,81.0,81.21,6910721
2025-07-14 00:00:00+05:30,81.4,82.6,80.68,82.23,8509957
2025-07-15 00:00:00+05:30,82.32,83.25,82.08,82.72,5525179
2025-07-16 00:00:00+05:30,82.8,83.6,82.2,83.37,5926918
2025-07-17 00:00:00+05:30,83.5,83.67,82.51,82.61,4235645
2025-07-18 00:00:00+05:30,82.63,83.0,81.08,81.56,5234128
2025-07-21 00:00:00+05:30,81.56,82.29,80.93,81.73,4551018
2025-07-22 00:00:00+05:30,82.13,82.94,80.01,80.32,7137619
2025-07-23 00:00:00+05:30,80.64,81.62,79.87,80.71,6175205
2025-07-24 00:00:00+05:30,81.0,81.32,79.05,79.25,7223726
2025-07-25 00:00:00+05:30,79.29,79.78,75.4,75.94,19087592
2025-07-28 00:00:00+05:30,75.91,79.0,75.46,76.38,13112568
2025-07-29 00:00:00+05:30,76.38,78.99,75.92,78.67,10464692
2025-07-30 00:00:00+05:30,78.75,79.1,76.75,77.0,5860749
2025-07-31 00:00:00+05:30,76.47,77.05,75.41,75.57,11844443
2025-08-01 00:00:00+05:30,75.6,76.1,72.94,73.26,7440393
2025-08-04 00:00:00+05:30,73.5,75.29,73.26,75.01,11714562
2025-08-05 00:00:00+05:30,75.15,75.54,73.65,74.02,4677682
2025-08-06 00:00:00+05:30,74.11,74.6,72.57,72.86,10562288
2025-08-07 00:00:00+05:30,72.65,74.28,72.15,73.96,6686300
2025-08-08 00:00:00+05:30,73.95,74.47,72.6,72.95,3733818
2025-08-11 00:00:00+05:30,73.0,73.87,72.25,73.19,4495272
2025-08-12 00:00:00+05:30,73.54,73.84,71.8,71.99,4513554
2025-08-13 00:00:00+05:30,72.0,72.8,71.41,71.6,5095065
2025-08-14 00:00:00+05:30,71.95,72.46,70.35,71.09,7160882
2025-08-18 00:00:00+05:30,71.98,73.27,71.75,72.93,5410484
2025-08-19 00:00:00+05:30,73.03,74.95,72.93,74.38,7859206
2025-08-20 00:00:00+05:30,74.38,75.73,74.05,75.27,4714243
2025-08-21 00:00:00+05:30,75.27,76.25,72.61,72.8,16568740
2025-08-22 00:00:00+05:30,72.8,74.59,72.7,73.62,6243020
2025-08-25 00:00:00+05:30,73.95,74.75,73.51,74.24,6994479
2025-08-26 00:00:00+05:30,74.08,74.14,71.51,71.82,6414011
2025-08-28 00:00:00+05:30,71.82,72.15,69.3,69.71,11171055
2025-08-29 00:00:00+05:30,69.9,70.7,68.56,70.23,22471463
2025-09-01 00:00:00+05:30,70.6,71.75,70.11,71.33,7052642
2025-09-02 00:00:00+05:30,71.41,71.87,70.0,70.28,11083136
2025-09-03 00:00:00+05:30,70.49,71.84,70.35,71.68,5871614
2025-09-04 00:00:00+05:30,72.25,72.56,69.86,69.99,7005387
2025-09-05 00:00:00+05:30,70.24,70.71,69.05,69.84,9246925
2025-09-08 00:00:00+05:30,71.01,71.78,69.7,70.97,19859380
2025-09-09 00:00:00+05:30,71.5,71.8,69.85,70.06,11176292
2025-09-10 00:00:00+05:30,70.32,72.15,70.17,70.68,14886869
2025-09-11 00:00:00+05:30,70.9,71.65,70.02,70.28,9747524
2025-09-12 00:00:00+05:30,71.1,73.7,71.07,73.02,43056071
2025-09-15 00:00:00+05:30,73.75,74.61,73.3,73.87,18414288
2025-09-16 00:00:00+05:30,74.05,76.89,73.43,76.46,30880989
2025-09-17 00:00:00+05:30,76.94,77.21,74.8,75.12,21695644
2025-09-18 00:00:00+05:30,75.6,78.71,75.29,77.64,75186359
2025-09-19 00:00:00+05:30,77.54,77.55,76.1,76.42,12650396
2025-09-22 00:00:00+05:30,76.21,76.5,74.52,74.85,10534961
2025-09-23 00:00:00+05:30,74.89,75.96,73.96,75.34,9392547
2025-09-24 00:00:00+05:30,76.3,76.56,74.52,75.67,13673226
2025-09-25 00:00:00+05:30,75.5,77.39,74.8,76.4,18975097
2025-09-26 00:00:00+05:30,76.05,76.28,71.82,72.1,20761048
2025-09-29 00:00:00+05:30,72.46,76.19,72.3,74.07,31113853
2025-09-30 00:00:00+05:30,74.44,74.74,72.3,72.88,9135917
2025-10-01 00:00:00+05:30,72.92,73.73,72.69,73.42,6815107
2025-10-03 00:00:00+05:30,73.5,76.15,72.81,75.87,18386988
2025-10-06 00:00:00+05:30,76.0,76.14,74.16,74.44,9295845
2025-10-07 00:00:00+05:30,74.46,75.18,73.76,74.46,8631290
2025-10-08 00:00:00+05:30,74.46,75.07,73.1,73.22,7974634
2025-10-09 00:00:00+05:30,74.15,74.79,73.62,73.98,14941670
2025-10-10 00:00:00+05:30,74.35,77.67,74.35,76.04,23042103
2025-10-13 00:00:00+05:30,75.51,76.95,74.35,76.41,23452335
2025-10-14 00:00:00+05:30,76.42,78.29,74.71,74.94,16171894
2025-10-15 00:00:00+05:30,75.23,77.81,75.1,77.23,14589569
2025-10-16 00:00:00+05:30,77.26,78.17,76.79,77.32,9256415
2025-10-17 00:00:00+05:30,77.69,78.95,74.5,75.46,23155508
2025-10-20 00:00:00+05:30,75.45,76.9,74.7,76.41,10137619
2025-10-21 00:00:00+05:30,76.76,77.74,76.47,77.21,12306411
2025-10-23 00:00:00+05:30,77.35,77.94,76.5,76.7,9929257
2025-10-24 00:00:00+05:30,76.7,78.5,76.6,77.74,13512704
2025-10-27 00:00:00+05:30,78.15,78.3,76.65,76.85,10910508
2025-10-28 00:00:00+05:30,77.0,77.18,75.45,75.66,7460096
2025-10-29 00:00:00+05:30,75.7,77.59,75.27,77.15,10148290
2025-10-30 00:00:00+05:30,76.85,76.99,74.56,74.67,13552459
2025-10-31 00:00:00+05:30,74.92,75.45,73.31,73.51,8597963
2025-11-03 00:00:00+05:30,73.8,78.1,73.6,77.51,30486532
2025-11-04 00:00:00+05:30,78.0,78.9,76.52,76.97,14544831
2025-11-06 00:00:00+05:30,76.97,77.22,74.25,74.69,9013433
2025-11-07 00:00:00+05:30,74.31,75.33,73.12,74.87,7558179
2025-11-10 00:00:00+05:30,74.87,75.3,74.1,74.22,4309461
2025-11-11 00:00:00+05:30,74.44,78.8,74.15,78.3,30606710
2025-11-12 00:00:00+05:30,79.0,80.07,76.33,76.86,23059064
2025-11-13 00:00:00+05:30,76.81,77.69,75.42,75.69,8658321
2025-11-14 00:00:00+05:30,75.5,76.68,75.13,75.86,6635718
2025-11-17 00:00:00+05:30,75.9,76.56,75.51,76.22,5242709
2025-11-18 00:00:00+05:30,76.2,76.36,74.18,74.32,8731102
2025-11-19 00:00:00+05:30,74.64,74.7,73.4,73.79,7723099
2025-11-20 00:00:00+05:30,74.1,74.49,73.19,73.4,6554864
2025-11-21 00:00:00+05:30,73.4,73.89,71.46,71.65,9266296
2025-11-24 00:00:00+05:30,71.65,72.6,70.85,71.16,7976408
2025-11-25 00:00:00+05:30,71.16,71.59,70.6,70.71,6408924
2025-11-26 00:00:00+05:30,70.8,72.19,70.75,71.72,5181489
2025-11-27 00:00:00+05:30,71.8,72.51,71.11,71.44,7997055
2025-11-28 00:00:00+05:30,71.45,71.61,70.0,70.17,10637604
2025-12-01 00:00:00+05:30,70.58,72.99,70.58,71.17,9866187
2025-12-02 00:00:00+05:30,71.17,71.47,70.22,70.72,5732665
2025-12-03 00:00:00+05:30,70.8,70.9,68.56,68.8,8915417
2025-12-04 00:00:00+05:30,69.12,72.26,68.72,70.47,20826668
2025-12-05 00:00:00+05:30,70.2,70.29,67.45,69.03,19958374
2025-12-08 00:00:00+05:30,70.98,71.33,65.7,66.49,30628278
2025-12-09 00:00:00+05:30,66.5,67.48,64.95,67.21,15322290
2025-12-10 00:00:00+05:30,67.0,68.07,65.61,66.04,14627114
2025-12-11 00:00:00+05:30,66.3,68.26,65.75,66.84,18204686
2025-12-12 00:00:00+05:30,67.01,68.05,66.2,66.56,12579661
2025-12-15 00:00:00+05:30,66.56,67.24,65.7,66.0,8696082
2025-12-16 00:00:00+05:30,65.81,66.58,65.06,65.43,10204719
2025-12-17 00:00:00+05:30,65.43,65.75,64.16,64.53,8998191
2025-12-18 00:00:00+05:30,64.79,65.46,64.0,64.62,10156497
2025-12-19 00:00:00+05:30,64.92,65.25,63.45,64.12,9656526
2025-12-22 00:00:00+05:30,64.45,65.7,63.7,63.95,13302618
2025-12-23 00:00:00+05:30,64.05,67.14,63.73,66.26,20754927
2025-12-24 00:00:00+05:30,66.05,66.99,64.05,64.24,13934322
2025-12-26 00:00:00+05:30,64.24,64.94,60.72,61.47,59247417
2025-12-29 00:00:00+05:30,62.0,68.04,61.34,64.85,171871693
2025-12-30 00:00:00+05:30,64.5,66.5,63.11,63.5,95495171
2025-12-31 00:00:00+05:30,64.3,71.59,64.23,67.79,164483732
2026-01-01 00:00:00+05:30,67.79,70.65,67.22,68.92,49902209
2026-01-02 00:00:00+05:30,69.0,69.28,67.36,67.73,18210925
2026-01-05 00:00:00+05:30,67.77,70.2,66.56,67.2,18916545
2026-01-06 00:00:00+05:30,67.45,70.1,66.35,69.47,26747246
2026-01-07 00:00:00+05:30,69.47,71.29,69.16,69.62,23079561
2026-01-08 00:00:00+05:30,69.5,69.5,66.5,66.94,14329615
2026-01-09 00:00:00+05:30,67.1,67.6,64.0,64.89,15384199
2026-01-12 00:00:00+05:30,65.0,65.08,62.5,63.19,25709244
2026-01-13 00:00:00+05:30,63.75,65.06,61.68,62.68,23551913
2026-01-14 00:00:00+05:30,62.68,66.3,62.5,64.41,28613605
2026-01-16 00:00:00+05:30,64.46,69.05,63.91,68.02,40137629
2026-01-19 00:00:00+05:30,68.02,68.64,65.6,66.06,12971011
2026-01-20 00:00:00+05:30,66.0,66.15,62.9,63.32,14658791
2026-01-21 00:00:00+05:30,63.32,63.6,61.81,62.02,13915361
2026-01-22 00:00:00+05:30,63.0,63.67,62.06,62.37,10921759
2026-01-23 00:00:00+05:30,62.69,62.72,59.84,61.1,13573172
2026-01-27 00:00:00+05:30,61.39,61.78,59.82,60.95,12004577
2026-01-28 00:00:00+05:30,61.38,65.24,61.31,64.51,30894146
2026-01-29 00:00:00+05:30,64.0,67.8,62.6,65.82,20753501
2026-01-30 00:00:00+05:30,65.25,69.75,64.52,68.61,30274800
2026-02-01 00:00:00+05:30,68.27,69.86,65.1,65.84,11576628
2026-02-02 00:00:00+05:30,65.7,67.23,63.45,66.47,12970736
2026-02-03 00:00:00+05:30,69.5,70.14,67.42,68.52,32331657
2026-02-04 00:00:00+05:30,68.19,71.17,67.49,68.85,25061755
2026-02-05 00:00:00+05:30,68.51,72.7,67.61,71.05,34309311
2026-02-06 00:00:00+05:30,71.0,72.55,70.63,70.91,20995424
2026-02-09 00:00:00+05:30,71.3,72.56,70.5,72.24,17503816
2026-02-10 00:00:00+05:30,72.12,73.5,71.7,72.3,13387936
2026-02-11 00:00:00+05:30,72.3,72.69,71.31,71.65,7799430
2026-02-12 00:00:00+05:30,71.3,72.55,69.77,71.62,12537177
2026-02-13 00:00:00+05:30,71.05,71.05,69.2,69.74,12930607
2026-02-16 00:00:00+05:30,69.6,70.49,68.65,69.0,8191543
2026-02-17 00:00:00+05:30,69.3,73.0,69.02,72.12,32146168
2026-02-18 00:00:00+05:30,72.12,74.1,71.4,73.79,25079749
2026-02-19 00:00:00+05:30,74.5,75.4,70.7,71.38,20022181
2026-02-20 00:00:00+05:30,71.05,72.07,70.3,71.31,14195356
2026-02-23 00:00:00+05:30,71.66,72.34,69.12,69.69,12747887
2026-02-24 00:00:00+05:30,69.5,70.15,67.85,69.4,10533828
