date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,70.0,71.05,69.22,70.9,18132074
2025-06-17 00:00:00+05:30,70.89,71.6,69.71,70.15,24435026
2025-06-18 00:00:00+05:30,70.58,71.48,69.7,70.78,21216968
2025-06-19 00:00:00+05:30,70.77,70.85,69.3,69.71,15558407
2025-06-20 00:00:00+05:30,69.5,70.4,69.45,70.19,21742816
2025-06-23 00:00:00+05:30,69.3,71.25,69.3,71.01,23768809
2025-06-24 00:00:00+05:30,71.5,72.45,71.2,72.02,26953380
2025-06-25 00:00:00+05:30,72.25,72.5,71.57,72.1,15436515
2025-06-26 00:00:00+05:30,72.15,72.34,71.4,71.9,29699772
2025-06-27 00:00:00+05:30,72.0,73.16,71.68,72.36,32534083
2025-06-30 00:00:00+05:30,72.38,73.35,72.21,72.84,18465058
2025-07-01 00:00:00+05:30,73.25,77.39,73.25,77.24,129486596
2025-07-02 00:00:00+05:30,77.25,77.55,76.82,77.25,37592039
2025-07-03 00:00:00+05:30,77.4,77.84,76.95,77.66,33916039
2025-07-04 00:00:00+05:30,78.15,78.45,77.16,77.88,30198806
2025-07-07 00:00:00+05:30,77.5,78.3,77.22,77.71,26165428
2025-07-08 00:00:00+05:30,77.71,78.02,77.25,77.86,25588562
2025-07-09 00:00:00+05:30,78.0,78.0,77.15,77.45,19300752
2025-07-10 00:00:00+05:30,77.8,78.04,76.3,76.63,25762507
2025-07-11 00:00:00+05:30,76.59,76.69,74.75,75.23,16515100
2025-07-14 00:00:00+05:30,75.2,76.35,72.6,74.27,33762394
2025-07-15 00:00:00+05:30,74.15,74.76,72.7,72.93,29258552
2025-07-16 00:00:00+05:30,73.0,74.48,73.0,73.86,18913170
2025-07-17 00:00:00+05:30,74.0,74.16,73.32,73.48,18737669
2025-07-18 00:00:00+05:30,73.46,73.72,72.75,73.09,15997903
2025-07-21 00:00:00+05:30,73.0,74.35,72.41,73.99,18939003
2025-07-22 00:00:00+05:30,74.0,74.1,72.25,72.44,11850067
2025-07-23 00:00:00+05:30,72.59,73.2,71.83,72.7,16255180
2025-07-24 00:00:00+05:30,72.69,73.04,72.33,72.89,14860639
2025-07-25 00:00:00+05:30,72.59,72.59,70.51,70.7,16659670
2025-07-28 00:00:00+05:30,69.89,71.55,69.23,70.72,36297662
2025-07-29 00:00:00+05:30,70.46,71.49,70.21,70.31,16716062
2025-07-30 00:00:00+05:30,70.31,70.31,69.02,69.24,16071445
2025-07-31 00:00:00+05:30,68.5,69.62,68.23,68.76,22673335
2025-08-01 00:00:00+05:30,68.9,68.95,67.46,67.58,13817940
2025-08-04 00:00:00+05:30,67.58,69.46,67.3,69.33,16448393
2025-08-05 00:00:00+05:30,69.63,69.71,68.92,69.33,10949883
2025-08-06 00:00:00+05:30,69.49,69.64,68.22,68.74,12903967
2025-08-07 00:00:00+05:30,68.3,69.49,67.62,69.23,13467202
2025-08-08 00:00:00+05:30,69.23,70.37,68.82,69.11,12792924
2025-08-11 00:00:00+05:30,69.11,70.17,69.11,69.68,12840750
2025-08-12 00:00:00+05:30,69.9,70.2,69.0,69.06,10167500
2025-08-13 00:00:00+05:30,69.13,70.34,69.13,69.9,13878553
2025-08-14 00:00:00+05:30,69.9,70.0,68.56,68.77,12414379
2025-08-18 00:00:00+05:30,68.84,70.4,68.83,69.9,24069098
2025-08-19 00:00:00+05:30,69.76,71.6,69.65,71.29,19496992
2025-08-20 00:00:00+05:30,70.91,71.7,70.91,71.25,8584487
2025-08-21 00:00:00+05:30,71.21,71.25,69.9,70.08,10786733
