date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,168.0,170.09,165.0,167.93,14839323
2025-06-17 00:00:00+05:30,168.0,169.25,164.52,164.97,10983695
2025-06-18 00:00:00+05:30,165.1,166.95,163.81,165.21,8146064
2025-06-19 00:00:00+05:30,165.0,167.14,158.05,158.75,19471217
2025-06-20 00:00:00+05:30,162.6,166.5,159.81,165.07,32577822
2025-06-23 00:00:00+05:30,162.99,166.7,162.5,165.47,12608797
2025-06-24 00:00:00+05:30,168.0,169.0,165.61,166.17,12169462
2025-06-25 00:00:00+05:30,167.0,172.64,166.64,171.6,20188007
2025-06-26 00:00:00+05:30,172.55,173.1,169.05,170.93,11124273
2025-06-27 00:00:00+05:30,171.48,172.5,169.1,169.5,11806174
2025-06-30 00:00:00+05:30,170.26,172.4,169.41,170.13,7327935
2025-07-01 00:00:00+05:30,171.8,174.6,169.4,170.39,17480249
2025-07-02 00:00:00+05:30,171.01,171.3,167.33,168.23,8179033
2025-07-03 00:00:00+05:30,168.3,168.75,166.8,167.52,5327265
2025-07-04 00:00:00+05:30,167.83,168.3,165.53,166.67,5613838
2025-07-07 00:00:00+05:30,166.67,167.88,165.71,167.13,4183895
2025-07-08 00:00:00+05:30,167.5,167.97,165.2,166.48,4694765
2025-07-09 00:00:00+05:30,167.1,167.27,164.12,165.91,8823909
2025-07-10 00:00:00+05:30,167.0,170.16,167.0,169.64,20692786
2025-07-11 00:00:00+05:30,161.0,163.55,159.75,160.0,40559918
2025-07-14 00:00:00+05:30,160.0,160.0,156.5,159.0,11904949
2025-07-15 00:00:00+05:30,160.0,160.75,158.91,159.64,7758098
2025-07-16 00:00:00+05:30,160.0,160.8,159.5,160.03,5109899
2025-07-17 00:00:00+05:30,160.5,160.75,159.01,159.24,4479996
2025-07-18 00:00:00+05:30,159.59,159.7,157.1,157.39,4930315
2025-07-21 00:00:00+05:30,157.39,158.29,155.61,157.3,5457193
2025-07-22 00:00:00+05:30,157.48,158.49,156.0,156.22,4399404
2025-07-23 00:00:00+05:30,156.5,157.5,155.25,156.91,4995506
2025-07-24 00:00:00+05:30,156.98,158.07,156.0,156.21,4352512
2025-07-25 00:00:00+05:30,156.2,156.35,153.0,153.25,5486698
2025-07-28 00:00:00+05:30,153.25,155.79,149.9,150.49,6316214
2025-07-29 00:00:00+05:30,150.49,150.97,147.11,150.49,7688547
2025-07-30 00:00:00+05:30,150.92,151.77,150.0,150.22,5136389
2025-07-31 00:00:00+05:30,149.0,150.16,145.0,147.38,7208345
2025-08-01 00:00:00+05:30,147.45,148.65,145.2,145.69,5314027
2025-08-04 00:00:00+05:30,146.5,148.49,145.86,148.03,5468185
2025-08-05 00:00:00+05:30,148.03,149.0,146.0,146.63,3921938
2025-08-06 00:00:00+05:30,146.77,147.32,143.62,144.36,4802241
2025-08-07 00:00:00+05:30,143.8,145.45,140.26,144.57,6734089
