date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,54.5,54.8,53.05,54.61,9646527
2025-06-17 00:00:00+05:30,54.86,56.19,54.05,54.44,12340525
2025-06-18 00:00:00+05:30,54.49,55.14,53.66,54.48,8642727
2025-06-19 00:00:00+05:30,54.44,54.6,53.1,53.7,10692264
2025-06-20 00:00:00+05:30,53.6,54.4,53.54,53.87,6773542
2025-06-23 00:00:00+05:30,53.22,53.87,53.18,53.44,6659071
2025-06-24 00:00:00+05:30,54.18,55.2,54.07,54.52,12183609
2025-06-25 00:00:00+05:30,54.75,54.98,54.2,54.3,6281514
2025-06-26 00:00:00+05:30,54.59,54.7,53.65,53.84,10097515
2025-06-27 00:00:00+05:30,54.1,55.41,54.01,54.3,12529980
2025-06-30 00:00:00+05:30,54.6,57.35,54.6,57.11,53156282
2025-07-01 00:00:00+05:30,57.24,58.79,56.5,58.33,48251029
2025-07-02 00:00:00+05:30,58.6,58.78,56.9,57.08,21469665
2025-07-03 00:00:00+05:30,57.29,57.47,56.44,57.19,11508085
2025-07-04 00:00:00+05:30,57.44,57.75,56.82,57.49,14706449
2025-07-07 00:00:00+05:30,57.74,57.85,57.14,57.39,9308350
2025-07-08 00:00:00+05:30,57.38,57.57,56.4,56.81,7972654
2025-07-09 00:00:00+05:30,56.51,57.48,56.36,57.12,9902037
2025-07-10 00:00:00+05:30,57.25,57.36,56.51,56.62,5696264
2025-07-11 00:00:00+05:30,56.6,56.77,55.73,55.95,10368392
2025-07-14 00:00:00+05:30,55.97,56.68,55.61,56.08,9869575
2025-07-15 00:00:00+05:30,56.37,57.64,56.22,57.17,27378332
2025-07-16 00:00:00+05:30,57.9,58.0,57.07,57.32,22241028
2025-07-17 00:00:00+05:30,57.64,57.74,56.92,57.28,8667867
2025-07-18 00:00:00+05:30,57.35,57.43,56.4,56.62,7973733
2025-07-21 00:00:00+05:30,56.89,57.24,56.35,56.62,7687276
2025-07-22 00:00:00+05:30,56.86,57.15,56.2,56.38,6014293
2025-07-23 00:00:00+05:30,56.52,56.76,56.07,56.5,4428965
2025-07-24 00:00:00+05:30,56.6,57.49,56.6,57.25,11104622
2025-07-25 00:00:00+05:30,57.19,57.37,56.6,56.72,9900749
2025-07-28 00:00:00+05:30,56.94,57.39,56.23,56.83,10244909
2025-07-29 00:00:00+05:30,56.65,57.0,56.26,56.76,4819308
2025-07-30 00:00:00+05:30,56.71,57.25,56.26,56.53,4827130
2025-07-31 00:00:00+05:30,56.0,56.4,55.22,56.08,4937477
2025-08-01 00:00:00+05:30,56.08,56.28,54.01,54.27,6696783
2025-08-04 00:00:00+05:30,54.27,55.35,54.1,55.23,6467047
2025-08-05 00:00:00+05:30,55.25,55.65,55.0,55.12,4001138
2025-08-06 00:00:00+05:30,55.12,55.34,53.71,53.96,7342758
2025-08-07 00:00:00+05:30,53.74,53.96,52.25,53.57,6729018
2025-08-08 00:00:00+05:30,53.99,55.92,53.7,55.66,16178429
2025-08-11 00:00:00+05:30,55.79,56.25,55.21,55.48,5101864
2025-08-12 00:00:00+05:30,55.46,55.98,55.01,55.68,4476773
2025-08-13 00:00:00+05:30,55.5,56.07,54.95,55.06,3143796
2025-08-14 00:00:00+05:30,55.17,55.34,54.0,54.39,3944961
2025-08-18 00:00:00+05:30,55.1,55.48,54.66,54.88,2843428
2025-08-19 00:00:00+05:30,54.9,55.5,54.66,55.43,3585136
2025-08-20 00:00:00+05:30,55.2,55.78,54.95,55.17,3251772
2025-08-21 00:00:00+05:30,55.06,55.96,55.04,55.26,7150839
2025-08-22 00:00:00+05:30,55.01,55.44,54.7,54.8,3312153
2025-08-25 00:00:00+05:30,54.51,54.97,54.21,54.33,4834532
2025-08-26 00:00:00+05:30,54.11,54.47,53.1,53.23,3960852
2025-08-28 00:00:00+05:30,53.0,53.13,52.34,52.53,3223885
2025-08-29 00:00:00+05:30,52.4,52.82,51.77,51.95,4009667
2025-09-01 00:00:00+05:30,51.9,52.6,51.71,52.01,6767306
2025-09-02 00:00:00+05:30,51.95,53.32,51.95,52.46,4810539
2025-09-03 00:00:00+05:30,52.55,52.93,52.46,52.82,3049236
2025-09-04 00:00:00+05:30,53.12,53.35,51.9,52.04,3629831
