date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,12404,12567,12336,12530,184242
2025-06-17 00:00:00+05:30,12529,12615,12470,12595,226597
2025-06-18 00:00:00+05:30,12620,12880,12550,12748,467738
2025-06-19 00:00:00+05:30,12750,12825,12714,12806,339117
2025-06-20 00:00:00+05:30,12809,12890,12728,12791,652128
2025-06-23 00:00:00+05:30,12771,12786,12666,12699,192037
2025-06-24 00:00:00+05:30,12830,12855,12553,12611,332717
2025-06-25 00:00:00+05:30,12684,12807,12617,12767,316536
2025-06-26 00:00:00+05:30,12780,12848,12689,12715,354735
2025-06-27 00:00:00+05:30,12750,12799,12621,12642,346403
2025-06-30 00:00:00+05:30,12667,12675,12332,12400,448956
2025-07-01 00:00:00+05:30,12450,12459,12320,12442,283481
2025-07-02 00:00:00+05:30,12380,12643,12359,12622,609735
2025-07-03 00:00:00+05:30,12630,12820,12590,12752,606221
2025-07-04 00:00:00+05:30,12715,12748,12608,12646,225607
2025-07-07 00:00:00+05:30,12647,12670,12471,12520,220116
2025-07-08 00:00:00+05:30,12525,12555,12359,12414,241050
2025-07-09 00:00:00+05:30,12435,12540,12430,12470,174203
2025-07-10 00:00:00+05:30,12500,12670,12401,12650,277325
2025-07-11 00:00:00+05:30,12640,12685,12521,12574,194420
2025-07-14 00:00:00+05:30,12590,12616,12431,12514,246737
2025-07-15 00:00:00+05:30,12481,12598,12481,12536,147377
2025-07-16 00:00:00+05:30,12536,12571,12439,12564,204480
2025-07-17 00:00:00+05:30,12569,12627,12463,12476,189207
2025-07-18 00:00:00+05:30,12525,12527,12370,12419,124068
2025-07-21 00:00:00+05:30,12431,12478,12342,12405,232066
2025-07-22 00:00:00+05:30,12449,12530,12319,12492,169006
2025-07-23 00:00:00+05:30,12540,12719,12540,12627,342005
2025-07-24 00:00:00+05:30,12648,12661,12519,12557,157163
2025-07-25 00:00:00+05:30,12545,12557,12357,12404,260700
2025-07-28 00:00:00+05:30,12371,12535,12302,12340,292879
2025-07-29 00:00:00+05:30,12340,12507,12268,12469,285115
2025-07-30 00:00:00+05:30,12431,12643,12420,12618,203847
2025-07-31 00:00:00+05:30,12506,12760,12464,12608,709783
2025-08-01 00:00:00+05:30,12521,12779,12273,12302,346024
2025-08-04 00:00:00+05:30,12326,12425,12225,12365,255693
2025-08-05 00:00:00+05:30,12400,12577,12370,12537,233560
2025-08-06 00:00:00+05:30,12570,12619,12483,12524,151608
2025-08-07 00:00:00+05:30,12525,12654,12429,12632,173393
2025-08-08 00:00:00+05:30,12630,12725,12564,12590,247048
2025-08-11 00:00:00+05:30,12585,12734,12482,12597,187230
2025-08-12 00:00:00+05:30,12620,12959,12606,12840,504476
2025-08-13 00:00:00+05:30,12840,12925,12752,12834,252065
2025-08-14 00:00:00+05:30,12864,12956,12825,12936,318580
