date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,136800,137445,135900,136145,4147
2025-06-17 00:00:00+05:30,136300,137030,136005,136350,2551
2025-06-18 00:00:00+05:30,136100,138500,136100,137950,4151
2025-06-19 00:00:00+05:30,137750,138650,137060,138180,3680
2025-06-20 00:00:00+05:30,138510,138875,132740,134430,24690
2025-06-23 00:00:00+05:30,134430,135995,134400,135555,3479
2025-06-24 00:00:00+05:30,136500,137125,135830,136610,4694
2025-06-25 00:00:00+05:30,136910,139595,136600,139255,5814
2025-06-26 00:00:00+05:30,139305,143000,138625,142515,11171
2025-06-27 00:00:00+05:30,142600,145700,141700,143215,20472
2025-06-30 00:00:00+05:30,144000,145100,141695,142360,6320
2025-07-01 00:00:00+05:30,143000,143695,141690,142500,5748
2025-07-02 00:00:00+05:30,142800,145680,142800,145210,7394
2025-07-03 00:00:00+05:30,145400,148075,143720,144920,7751
2025-07-04 00:00:00+05:30,145500,146000,143500,143965,4175
2025-07-07 00:00:00+05:30,144660,144660,142200,143135,3844
2025-07-08 00:00:00+05:30,143005,145555,142210,144945,4391
2025-07-09 00:00:00+05:30,144945,151900,144000,150715,24541
2025-07-10 00:00:00+05:30,150100,150700,147000,148280,9580
2025-07-11 00:00:00+05:30,148280,148880,146200,148240,7148
2025-07-14 00:00:00+05:30,148240,150600,147005,148845,11768
2025-07-15 00:00:00+05:30,149530,151300,148270,150785,9826
2025-07-16 00:00:00+05:30,150200,153000,150200,152470,7865
2025-07-17 00:00:00+05:30,152100,152470,150005,150535,6478
2025-07-18 00:00:00+05:30,150535,151500,147500,148060,8078
2025-07-21 00:00:00+05:30,148400,149000,146550,148405,6592
2025-07-22 00:00:00+05:30,148500,150900,147860,148170,6764
2025-07-23 00:00:00+05:30,148600,150300,148600,149915,3588
2025-07-24 00:00:00+05:30,149915,152190,149900,150880,7838
2025-07-25 00:00:00+05:30,150800,151250,148425,149210,4591
2025-07-28 00:00:00+05:30,149500,150770,147205,147805,4668
2025-07-29 00:00:00+05:30,148300,150220,148015,149355,4513
2025-07-30 00:00:00+05:30,149960,150290,148600,150025,3136
2025-07-31 00:00:00+05:30,149050,149495,147200,147845,6737
2025-08-01 00:00:00+05:30,148400,149180,145050,145905,6369
2025-08-04 00:00:00+05:30,145900,147195,143995,144285,6882
2025-08-05 00:00:00+05:30,144600,146280,144200,145845,3962
2025-08-06 00:00:00+05:30,147000,147385,145700,146385,4222
2025-08-07 00:00:00+05:30,145500,146130,143500,144265,4325
2025-08-08 00:00:00+05:30,144700,144700,142000,142715,2851
2025-08-11 00:00:00+05:30,142850,143485,141095,142170,2920
2025-08-12 00:00:00+05:30,142170,142695,137215,140535,11861
2025-08-13 00:00:00+05:30,141700,141700,138100,138840,4360
2025-08-14 00:00:00+05:30,139000,139750,137900,138475,4133
2025-08-18 00:00:00+05:30,139100,145250,138755,144515,12991
2025-08-19 00:00:00+05:30,144500,148825,143250,146535,18003
2025-08-20 00:00:00+05:30,146500,149200,145860,148790,6421
2025-08-21 00:00:00+05:30,149530,150000,147465,148125,5446
2025-08-22 00:00:00+05:30,148750,148750,147000,147505,3011
2025-08-25 00:00:00+05:30,148200,148200,146205,146745,4631
2025-08-26 00:00:00+05:30,146500,147020,141600,142380,8941
2025-08-28 00:00:00+05:30,142700,143490,141200,142275,6106
2025-08-29 00:00:00+05:30,142000,142605,139900,140955,7056
2025-09-01 00:00:00+05:30,141100,145500,140955,144835,6252
2025-09-02 00:00:00+05:30,145200,155000,144185,153885,32632
2025-09-03 00:00:00+05:30,153885,154200,150250,150550,8962
2025-09-04 00:00:00+05:30,152550,155000,149200,149655,12184
2025-09-05 00:00:00+05:30,150390,150505,147700,148100,4806
2025-09-08 00:00:00+05:30,148840,149595,146600,147075,8159
2025-09-09 00:00:00+05:30,148050,149770,146700,149315,4638
2025-09-10 00:00:00+05:30,149400,150535,145000,145255,10906
2025-09-11 00:00:00+05:30,145890,147200,145330,146480,7349
2025-09-12 00:00:00+05:30,146500,148400,146085,146570,6578
2025-09-15 00:00:00+05:30,147300,148890,146885,147400,4443
2025-09-16 00:00:00+05:30,148050,152200,147800,150890,13098
2025-09-17 00:00:00+05:30,151200,152355,149600,150230,6242
2025-09-18 00:00:00+05:30,150980,151500,148800,149050,4567
2025-09-19 00:00:00+05:30,149650,151250,148010,149705,11008
2025-09-22 00:00:00+05:30,150000,154195,149125,152850,10863
2025-09-23 00:00:00+05:30,153000,156400,152995,155935,12421
2025-09-24 00:00:00+05:30,155400,155885,153030,153745,5737
2025-09-25 00:00:00+05:30,153710,153710,150000,150435,5811
2025-09-26 00:00:00+05:30,150890,151360,148000,148545,5719
2025-09-29 00:00:00+05:30,149820,149820,145070,145885,9306
2025-09-30 00:00:00+05:30,147285,148305,145420,145820,7375
2025-10-01 00:00:00+05:30,146600,149995,145800,148740,8100
2025-10-03 00:00:00+05:30,148740,154500,147405,153195,11930
2025-10-06 00:00:00+05:30,153190,153195,150860,152350,4800
2025-10-07 00:00:00+05:30,152350,154300,151110,153720,7514
2025-10-08 00:00:00+05:30,153720,160150,152500,155210,15979
2025-10-09 00:00:00+05:30,156100,157525,155215,156355,6422
2025-10-10 00:00:00+05:30,156400,157340,153355,155395,8693
2025-10-13 00:00:00+05:30,154600,157200,154600,156885,4616
2025-10-14 00:00:00+05:30,156550,158700,156355,157695,7557
2025-10-15 00:00:00+05:30,157695,157770,155000,155310,5500
2025-10-16 00:00:00+05:30,156100,156990,154705,155255,4769
2025-10-17 00:00:00+05:30,156100,156450,155115,155940,3587
2025-10-20 00:00:00+05:30,156780,163400,156535,161695,15860
2025-10-21 00:00:00+05:30,161100,162750,160215,161680,2188
2025-10-23 00:00:00+05:30,161980,163000,160285,162295,6570
2025-10-24 00:00:00+05:30,161055,163600,159400,160190,7853
2025-10-27 00:00:00+05:30,160190,161690,159090,159335,4430
2025-10-28 00:00:00+05:30,160200,162065,157900,158195,7325
2025-10-29 00:00:00+05:30,160000,160100,158400,159900,3671
2025-10-30 00:00:00+05:30,160100,160560,157700,158135,4107
2025-10-31 00:00:00+05:30,159000,159105,157250,157515,3835
2025-11-03 00:00:00+05:30,157800,159640,157800,158360,3088
2025-11-04 00:00:00+05:30,159150,159495,157550,157915,3650
2025-11-06 00:00:00+05:30,158955,159440,156805,157255,3826
2025-11-07 00:00:00+05:30,157885,159300,155665,158765,3830
2025-11-10 00:00:00+05:30,159500,159505,157320,157825,3056
2025-11-11 00:00:00+05:30,158620,158695,157220,158165,2691
2025-11-12 00:00:00+05:30,158365,159320,157300,157775,3575
2025-11-13 00:00:00+05:30,158300,159300,158000,158315,3192
2025-11-14 00:00:00+05:30,158475,159700,156220,157400,14236
2025-11-17 00:00:00+05:30,158500,158990,156750,157135,4449
2025-11-18 00:00:00+05:30,157500,157510,154650,155210,6029
2025-11-19 00:00:00+05:30,155600,155655,153100,153355,4529
2025-11-20 00:00:00+05:30,153500,154500,151505,151950,5220
2025-11-21 00:00:00+05:30,152500,154750,152000,152435,7022
2025-11-24 00:00:00+05:30,153000,157450,151810,155455,13719
2025-11-25 00:00:00+05:30,155000,155200,153655,154780,3067
2025-11-26 00:00:00+05:30,155200,155700,153515,154490,3665
2025-11-27 00:00:00+05:30,155000,155000,153405,153750,2344
2025-11-28 00:00:00+05:30,153750,153905,152000,152420,3564
2025-12-01 00:00:00+05:30,152500,153000,151600,152420,3132
2025-12-02 00:00:00+05:30,152445,155695,152445,154505,7318
2025-12-03 00:00:00+05:30,154500,154665,151750,152040,3887
2025-12-04 00:00:00+05:30,153000,153995,151735,153625,3170
2025-12-05 00:00:00+05:30,153650,154300,152800,153210,2243
2025-12-08 00:00:00+05:30,153300,155000,152240,153500,2444
2025-12-09 00:00:00+05:30,153490,153490,151600,152345,3580
2025-12-10 00:00:00+05:30,152820,153135,151000,151675,3400
2025-12-11 00:00:00+05:30,152300,153950,150300,153560,3905
2025-12-12 00:00:00+05:30,153610,153700,152000,152550,2546
2025-12-15 00:00:00+05:30,152550,153400,151160,153155,2843
2025-12-16 00:00:00+05:30,152500,153355,152400,152655,1967
2025-12-17 00:00:00+05:30,152700,153295,151120,151755,2903
2025-12-18 00:00:00+05:30,153000,153000,151330,152260,4410
2025-12-19 00:00:00+05:30,153000,155385,152260,153580,8953
2025-12-22 00:00:00+05:30,153930,154260,153400,153900,2771
2025-12-23 00:00:00+05:30,154880,154880,153025,153360,2988
2025-12-24 00:00:00+05:30,153400,153885,151025,151435,4115
2025-12-26 00:00:00+05:30,152200,152295,150000,150205,3539
2025-12-29 00:00:00+05:30,151000,151000,148000,148760,6672
2025-12-30 00:00:00+05:30,148800,155205,148170,151090,8688
2025-12-31 00:00:00+05:30,151505,153460,151500,152855,6063
2026-01-01 00:00:00+05:30,152500,153115,151220,151535,2867
2026-01-02 00:00:00+05:30,151600,151960,150470,150685,3834
2026-01-05 00:00:00+05:30,150750,151765,149700,150405,4627
2026-01-06 00:00:00+05:30,151585,151585,149625,150195,3349
2026-01-07 00:00:00+05:30,150205,150600,149550,150135,3436
2026-01-08 00:00:00+05:30,150250,150255,148100,148720,4338
2026-01-09 00:00:00+05:30,148500,149725,146520,147095,4120
2026-01-12 00:00:00+05:30,147795,149500,145340,148735,4581
2026-01-13 00:00:00+05:30,149395,149745,147115,147710,3618
2026-01-14 00:00:00+05:30,148000,148005,145305,145665,5287
2026-01-16 00:00:00+05:30,145600,145665,142535,142840,8096
2026-01-19 00:00:00+05:30,143000,145135,141505,143045,5832
2026-01-20 00:00:00+05:30,144000,144000,141750,143235,6432
2026-01-21 00:00:00+05:30,142900,142900,137740,140050,10269
2026-01-22 00:00:00+05:30,140200,142800,140200,142275,5051
2026-01-23 00:00:00+05:30,142675,142850,136800,137475,7285
2026-01-27 00:00:00+05:30,139000,139000,135450,135810,5335
2026-01-28 00:00:00+05:30,136200,136800,134430,134935,6515
2026-01-29 00:00:00+05:30,135500,135500,130400,130915,10020
2026-01-30 00:00:00+05:30,130900,133000,130025,132165,18857
2026-02-01 00:00:00+05:30,133000,134355,131455,132295,3220
2026-02-02 00:00:00+05:30,132295,134200,131200,133765,4177
2026-02-03 00:00:00+05:30,137645,137645,135010,136650,5922
2026-02-04 00:00:00+05:30,137000,139800,136010,137640,5376
2026-02-05 00:00:00+05:30,138455,138455,134600,134970,4836
2026-02-06 00:00:00+05:30,134970,149070,133740,146455,64381
