date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,194.73,196.77,192.2,195.1,4532367
2025-06-17 00:00:00+05:30,194.2,195.43,192.95,194.06,2992673
2025-06-18 00:00:00+05:30,193.6,197.9,193.15,196.21,4182314
2025-06-19 00:00:00+05:30,196.0,196.99,193.14,193.99,2186156
2025-06-20 00:00:00+05:30,193.55,198.57,193.23,197.07,19831617
2025-06-23 00:00:00+05:30,196.01,204.82,194.6,203.53,12120299
2025-06-24 00:00:00+05:30,204.1,204.99,196.27,198.36,6204984
2025-06-25 00:00:00+05:30,198.9,204.7,198.48,204.14,9021420
2025-06-26 00:00:00+05:30,204.25,207.89,202.4,206.85,5322917
2025-06-27 00:00:00+05:30,208.0,210.94,204.2,209.86,20037270
2025-06-30 00:00:00+05:30,210.0,210.38,206.66,208.39,3452461
2025-07-01 00:00:00+05:30,208.23,210.28,206.71,207.05,3847897
2025-07-02 00:00:00+05:30,207.76,212.25,204.26,211.59,8571295
2025-07-03 00:00:00+05:30,205.0,205.5,201.0,202.31,59581827
2025-07-04 00:00:00+05:30,202.5,203.16,197.62,198.23,7997284
2025-07-07 00:00:00+05:30,200.0,203.13,199.31,201.52,17509900
2025-07-08 00:00:00+05:30,201.52,202.96,200.56,202.59,4455832
2025-07-09 00:00:00+05:30,202.89,214.94,201.91,213.37,20223587
2025-07-10 00:00:00+05:30,212.0,218.43,211.11,217.14,15986720
2025-07-11 00:00:00+05:30,216.51,218.7,216.03,217.23,6967137
2025-07-14 00:00:00+05:30,220.07,220.4,216.68,220.03,5706960
2025-07-15 00:00:00+05:30,219.0,220.9,215.45,216.06,4039572
2025-07-16 00:00:00+05:30,215.97,216.95,213.44,215.7,4067075
2025-07-17 00:00:00+05:30,215.8,220.0,215.15,217.47,6695974
2025-07-18 00:00:00+05:30,217.47,218.47,212.05,212.86,2792302
2025-07-21 00:00:00+05:30,212.86,216.49,210.07,215.03,2062727
2025-07-22 00:00:00+05:30,216.0,221.85,214.36,220.03,7203519
2025-07-23 00:00:00+05:30,221.41,221.95,215.59,218.71,3802877
2025-07-24 00:00:00+05:30,217.77,218.7,215.04,215.62,2063162
2025-07-25 00:00:00+05:30,215.0,215.75,211.43,212.23,2483283
2025-07-28 00:00:00+05:30,211.0,214.8,207.97,208.75,3353728
2025-07-29 00:00:00+05:30,208.0,211.8,206.94,210.43,2955868
2025-07-30 00:00:00+05:30,210.5,214.06,208.47,213.84,2675631
2025-07-31 00:00:00+05:30,211.39,213.99,209.0,209.62,4231103
2025-08-01 00:00:00+05:30,210.69,212.34,208.6,210.06,2320719
2025-08-04 00:00:00+05:30,209.0,214.17,208.41,212.9,2742288
2025-08-05 00:00:00+05:30,211.58,212.73,209.79,211.39,1895822
2025-08-06 00:00:00+05:30,211.39,212.54,207.15,208.62,2875309
2025-08-07 00:00:00+05:30,207.4,210.89,204.65,209.9,2278210
2025-08-08 00:00:00+05:30,209.0,209.0,200.71,202.13,3609865
2025-08-11 00:00:00+05:30,202.59,204.3,200.14,203.54,2556783
2025-08-12 00:00:00+05:30,204.15,205.8,202.64,204.64,1737735
2025-08-13 00:00:00+05:30,215.0,220.77,210.0,215.04,45277971
2025-08-14 00:00:00+05:30,214.81,216.5,211.16,215.14,6579517
2025-08-18 00:00:00+05:30,217.0,221.0,216.11,219.17,5714072
2025-08-19 00:00:00+05:30,219.17,227.5,215.59,226.83,8440492
2025-08-20 00:00:00+05:30,228.0,229.15,224.01,225.18,6551938
2025-08-21 00:00:00+05:30,226.0,228.45,223.3,224.95,5635245
2025-08-22 00:00:00+05:30,224.95,227.88,224.39,224.94,4074027
2025-08-25 00:00:00+05:30,226.0,233.1,224.94,229.54,11527076
2025-08-26 00:00:00+05:30,229.55,234.28,227.5,231.65,22792751
2025-08-28 00:00:00+05:30,232.8,236.96,228.13,233.84,7414193
2025-08-29 00:00:00+05:30,231.91,231.91,225.26,230.15,8204962
2025-09-01 00:00:00+05:30,230.79,234.5,230.75,233.73,3672436
2025-09-02 00:00:00+05:30,233.8,235.41,231.0,232.52,4259942
2025-09-03 00:00:00+05:30,233.45,238.52,231.35,237.71,6707938
2025-09-04 00:00:00+05:30,242.0,244.39,238.48,239.53,7205270
2025-09-05 00:00:00+05:30,240.5,245.68,240.49,242.64,5599787
2025-09-08 00:00:00+05:30,243.7,249.28,242.21,247.28,7283203
2025-09-09 00:00:00+05:30,248.0,248.39,238.11,241.49,9459534
2025-09-10 00:00:00+05:30,241.5,243.26,237.0,238.72,4495559
2025-09-11 00:00:00+05:30,239.5,239.5,235.2,237.83,1995884
2025-09-12 00:00:00+05:30,239.0,240.47,236.2,239.17,6962701
2025-09-15 00:00:00+05:30,238.99,244.11,238.25,240.98,5301420
2025-09-16 00:00:00+05:30,241.03,244.39,240.37,243.74,3298726
2025-09-17 00:00:00+05:30,243.84,245.0,240.86,242.64,2504057
2025-09-18 00:00:00+05:30,243.85,246.9,242.15,245.93,2971354
2025-09-19 00:00:00+05:30,246.5,247.77,243.04,243.62,3704175
2025-09-22 00:00:00+05:30,242.39,245.79,241.82,242.4,4006232
2025-09-23 00:00:00+05:30,243.1,243.56,237.1,237.71,2661574
2025-09-24 00:00:00+05:30,238.7,239.99,236.0,237.05,2180564
2025-09-25 00:00:00+05:30,237.01,239.29,233.43,236.46,3006429
2025-09-26 00:00:00+05:30,236.0,237.44,230.07,230.62,1792733
2025-09-29 00:00:00+05:30,230.0,234.8,230.0,231.35,3074483
2025-09-30 00:00:00+05:30,231.8,234.3,227.9,232.38,4787843
2025-10-01 00:00:00+05:30,231.85,242.3,231.24,241.26,4704492
2025-10-03 00:00:00+05:30,241.0,241.0,237.1,239.81,2832768
2025-10-06 00:00:00+05:30,239.81,256.95,239.5,255.34,29018183
