date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,46275,46405,45510,45630,16961
2025-06-17 00:00:00+05:30,45900,46145,45605,45830,14393
2025-06-18 00:00:00+05:30,45990,45990,44780,45185,33495
2025-06-19 00:00:00+05:30,45320,45425,44755,44875,29724
2025-06-20 00:00:00+05:30,44800,45285,44200,44925,35835
2025-06-23 00:00:00+05:30,44900,45590,44640,45430,19219
2025-06-24 00:00:00+05:30,46330,47385,45800,46270,38399
2025-06-25 00:00:00+05:30,46090,49085,46090,48285,55451
2025-06-26 00:00:00+05:30,48105,48980,47830,48700,51907
2025-06-27 00:00:00+05:30,48510,50590,47690,49440,61469
2025-06-30 00:00:00+05:30,48800,49490,48430,49410,34121
2025-07-01 00:00:00+05:30,49200,49700,48000,48195,20045
2025-07-02 00:00:00+05:30,47235,47925,47130,47500,24542
2025-07-03 00:00:00+05:30,47790,48490,47700,48145,14934
2025-07-04 00:00:00+05:30,48345,49125,48010,48710,52564
2025-07-07 00:00:00+05:30,48800,49080,48440,48910,18958
2025-07-08 00:00:00+05:30,48975,49195,48330,48965,14343
2025-07-09 00:00:00+05:30,49100,49165,48340,48590,12878
2025-07-10 00:00:00+05:30,48890,48985,48000,48245,13232
2025-07-11 00:00:00+05:30,48365,48570,47650,47930,9296
2025-07-14 00:00:00+05:30,47880,48925,47880,48765,34775
2025-07-15 00:00:00+05:30,48770,49300,48460,49020,12350
2025-07-16 00:00:00+05:30,49100,49380,47090,47145,26209
2025-07-17 00:00:00+05:30,47300,47490,46980,47285,13351
2025-07-18 00:00:00+05:30,47490,47490,46390,46740,9590
2025-07-21 00:00:00+05:30,46905,46990,46425,46730,10469
2025-07-22 00:00:00+05:30,46730,46825,46220,46295,13967
2025-07-23 00:00:00+05:30,46500,47790,46130,47410,20541
2025-07-24 00:00:00+05:30,47200,47295,46600,47115,22375
2025-07-25 00:00:00+05:30,47000,47300,46135,46270,11751
2025-07-28 00:00:00+05:30,46260,46935,46205,46510,10007
2025-07-29 00:00:00+05:30,46350,47400,46220,47215,21249
2025-07-30 00:00:00+05:30,47220,48715,46985,48315,64163
2025-07-31 00:00:00+05:30,48085,49090,47555,48805,25534
2025-08-01 00:00:00+05:30,48135,48135,46500,46810,27452
2025-08-04 00:00:00+05:30,47140,47180,46180,46265,11840
2025-08-05 00:00:00+05:30,46265,46360,45385,45730,12379
2025-08-06 00:00:00+05:30,45940,46440,45695,46300,9433
2025-08-07 00:00:00+05:30,45525,46720,45290,45760,40964
2025-08-08 00:00:00+05:30,45495,45495,43820,44865,49106
2025-08-11 00:00:00+05:30,44800,45300,43650,45025,26479
2025-08-12 00:00:00+05:30,44960,45330,43890,44080,24274
2025-08-13 00:00:00+05:30,44010,44280,43405,43525,36102
2025-08-14 00:00:00+05:30,43670,43845,43365,43515,19276
2025-08-18 00:00:00+05:30,43985,44920,43980,44690,19031
