date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,29700,29905,29545,29805,19409
2025-06-17 00:00:00+05:30,29850,29900,29505,29620,17595
2025-06-18 00:00:00+05:30,29780,29780,29225,29305,13011
2025-06-19 00:00:00+05:30,29470,29470,29095,29310,15605
2025-06-20 00:00:00+05:30,29420,29555,28590,28875,296684
2025-06-23 00:00:00+05:30,28755,28915,28450,28565,35494
2025-06-24 00:00:00+05:30,28735,28770,28355,28505,79141
2025-06-25 00:00:00+05:30,28645,29185,28475,29075,92269
2025-06-26 00:00:00+05:30,29130,30150,29130,30105,98924
2025-06-27 00:00:00+05:30,30005,31280,30000,31030,218128
2025-06-30 00:00:00+05:30,30895,31125,30595,31030,42009
2025-07-01 00:00:00+05:30,31105,31650,31105,31185,46618
2025-07-02 00:00:00+05:30,31435,31700,31030,31640,20945
2025-07-03 00:00:00+05:30,31640,31885,31340,31420,26592
2025-07-04 00:00:00+05:30,31550,31575,31175,31315,12514
2025-07-07 00:00:00+05:30,31315,31385,30825,31105,15768
2025-07-08 00:00:00+05:30,31270,31350,30955,31300,27148
2025-07-09 00:00:00+05:30,31260,31675,31150,31615,25101
2025-07-10 00:00:00+05:30,31610,31660,30970,31175,31524
2025-07-11 00:00:00+05:30,31330,31570,31060,31210,26485
2025-07-14 00:00:00+05:30,31210,31470,30895,31100,24794
2025-07-15 00:00:00+05:30,31150,31195,30830,31080,13064
2025-07-16 00:00:00+05:30,31190,31190,30600,30955,15939
2025-07-17 00:00:00+05:30,31000,31000,30700,30845,10121
2025-07-18 00:00:00+05:30,30895,31090,30725,30790,21051
2025-07-21 00:00:00+05:30,30900,31595,30880,31535,48993
2025-07-22 00:00:00+05:30,31535,32490,31500,32345,59832
2025-07-23 00:00:00+05:30,32490,32490,31555,32115,34639
2025-07-24 00:00:00+05:30,32115,32270,31665,31745,20833
2025-07-25 00:00:00+05:30,31745,31745,30770,30950,16681
2025-07-28 00:00:00+05:30,31080,31505,30455,30695,27460
2025-07-29 00:00:00+05:30,30695,30710,30110,30410,20699
2025-07-30 00:00:00+05:30,30500,30780,30225,30590,18682
2025-07-31 00:00:00+05:30,30400,31020,30390,30810,15010
2025-08-01 00:00:00+05:30,30990,31035,30540,30675,29448
2025-08-04 00:00:00+05:30,30725,31110,30120,30645,91108
2025-08-05 00:00:00+05:30,30880,30880,30000,30205,38269
2025-08-06 00:00:00+05:30,30300,30675,30100,30570,45369
2025-08-07 00:00:00+05:30,30300,30710,30180,30655,13398
2025-08-08 00:00:00+05:30,30560,30935,30330,30415,14155
2025-08-11 00:00:00+05:30,30435,30845,30350,30640,18515
2025-08-12 00:00:00+05:30,30640,30700,30355,30410,19839
2025-08-13 00:00:00+05:30,30450,30735,30250,30410,47546
2025-08-14 00:00:00+05:30,30610,30610,30230,30400,34703
2025-08-18 00:00:00+05:30,31000,31920,30755,31340,40018
2025-08-19 00:00:00+05:30,31495,31600,30640,30905,44452
2025-08-20 00:00:00+05:30,31025,31225,30620,30690,29464
2025-08-21 00:00:00+05:30,30790,30950,30400,30605,12148
2025-08-22 00:00:00+05:30,30800,30800,29910,30005,23082
2025-08-25 00:00:00+05:30,30150,30380,29940,30015,36110
2025-08-26 00:00:00+05:30,30000,30500,29680,30110,27970
2025-08-28 00:00:00+05:30,30150,30155,29630,29675,32689
2025-08-29 00:00:00+05:30,29795,29930,29210,29275,63260
2025-09-01 00:00:00+05:30,29350,29975,29305,29870,37442
2025-09-02 00:00:00+05:30,29900,30155,29745,29995,23155
2025-09-03 00:00:00+05:30,30100,30275,29880,29940,23539
2025-09-04 00:00:00+05:30,30380,30750,29845,29945,25439
2025-09-05 00:00:00+05:30,30100,30100,29670,30040,16653
2025-09-08 00:00:00+05:30,30000,30655,29995,30485,12239
2025-09-09 00:00:00+05:30,30500,30660,30115,30190,22879
2025-09-10 00:00:00+05:30,30300,30520,29750,29890,34161
2025-09-11 00:00:00+05:30,29925,30100,29625,29830,20878
2025-09-12 00:00:00+05:30,29850,29935,29500,29580,21104
2025-09-15 00:00:00+05:30,29800,29800,29230,29275,25565
2025-09-16 00:00:00+05:30,29500,29900,29430,29575,40795
2025-09-17 00:00:00+05:30,29780,30190,29540,29685,47492
2025-09-18 00:00:00+05:30,29880,30025,29650,29960,36221
2025-09-19 00:00:00+05:30,30145,30145,29685,29880,62728
2025-09-22 00:00:00+05:30,30000,30000,29650,29705,42575
2025-09-23 00:00:00+05:30,29895,30115,29690,29790,33031
2025-09-24 00:00:00+05:30,30000,30000,29555,29650,35863
2025-09-25 00:00:00+05:30,29705,29915,29430,29515,31286
2025-09-26 00:00:00+05:30,29515,29635,28795,28910,20857
2025-09-29 00:00:00+05:30,28910,30110,28720,29735,143519
2025-09-30 00:00:00+05:30,29600,29705,29130,29265,29375
2025-10-01 00:00:00+05:30,29265,29455,28930,29295,26328
2025-10-03 00:00:00+05:30,29300,29375,28990,29180,13811
2025-10-06 00:00:00+05:30,29000,29370,28905,29295,12202
2025-10-07 00:00:00+05:30,29370,29750,29355,29530,13596
2025-10-08 00:00:00+05:30,29675,29690,29170,29285,10980
2025-10-09 00:00:00+05:30,29350,29720,29295,29485,22117
2025-10-10 00:00:00+05:30,29470,29705,29345,29445,17432
2025-10-13 00:00:00+05:30,29425,29670,29270,29615,13296
2025-10-14 00:00:00+05:30,29640,29745,29450,29615,15385
2025-10-15 00:00:00+05:30,29625,30100,29535,29940,15822
2025-10-16 00:00:00+05:30,29985,30285,29940,30010,12514
2025-10-17 00:00:00+05:30,29975,30040,29550,29690,16520
2025-10-20 00:00:00+05:30,29835,29840,28765,28880,23281
2025-10-21 00:00:00+05:30,29045,29085,28755,28950,1726
2025-10-23 00:00:00+05:30,29025,29350,28850,28970,48966
2025-10-24 00:00:00+05:30,29100,29110,28525,28705,25030
2025-10-27 00:00:00+05:30,28845,28930,28520,28590,36230
2025-10-28 00:00:00+05:30,28780,28780,28300,28585,34211
2025-10-29 00:00:00+05:30,28585,29425,28450,29210,79429
2025-10-30 00:00:00+05:30,29200,29200,28680,28740,22402
2025-10-31 00:00:00+05:30,28730,28740,28260,28310,24223
2025-11-03 00:00:00+05:30,28310,28395,27860,27975,12006
2025-11-04 00:00:00+05:30,28095,28095,27540,27600,12031
2025-11-06 00:00:00+05:30,27620,27690,27400,27450,15109
2025-11-07 00:00:00+05:30,27400,27760,27210,27375,23046
2025-11-10 00:00:00+05:30,27400,27535,27035,27090,32166
2025-11-11 00:00:00+05:30,27250,27250,26915,27035,19431
2025-11-12 00:00:00+05:30,27245,27245,26970,27095,24395
2025-11-13 00:00:00+05:30,27200,27275,26950,26995,14547
2025-11-14 00:00:00+05:30,26955,27090,26610,26700,18167
2025-11-17 00:00:00+05:30,26820,26820,26610,26680,20761
2025-11-18 00:00:00+05:30,26690,26760,26300,26420,36817
2025-11-19 00:00:00+05:30,26495,26630,26405,26510,12630
2025-11-20 00:00:00+05:30,26520,26620,26395,26480,15461
2025-11-21 00:00:00+05:30,26505,26750,26420,26480,15422
2025-11-24 00:00:00+05:30,26490,26540,26325,26490,23404
2025-11-25 00:00:00+05:30,26490,26505,26360,26455,35989
2025-11-26 00:00:00+05:30,26655,26975,26480,26935,16119
2025-11-27 00:00:00+05:30,26935,26945,26615,26755,25657
2025-11-28 00:00:00+05:30,26780,26865,26325,26400,15137
2025-12-01 00:00:00+05:30,26550,26565,26320,26415,16587
2025-12-02 00:00:00+05:30,26250,26645,26165,26545,34844
2025-12-03 00:00:00+05:30,26645,26685,26115,26300,36102
2025-12-04 00:00:00+05:30,26270,26490,26180,26450,9275
2025-12-05 00:00:00+05:30,26450,26455,26015,26075,30319
2025-12-08 00:00:00+05:30,26000,26365,26000,26135,48562
2025-12-09 00:00:00+05:30,26135,26350,25750,26100,117831
2025-12-10 00:00:00+05:30,26000,26095,25645,25885,32453
2025-12-11 00:00:00+05:30,25745,26350,25740,26080,46366
2025-12-12 00:00:00+05:30,26100,26460,26100,26285,23933
2025-12-15 00:00:00+05:30,26285,26720,26025,26625,66214
2025-12-16 00:00:00+05:30,26680,26700,25915,25990,30430
2025-12-17 00:00:00+05:30,25990,26185,25900,26045,64316
2025-12-18 00:00:00+05:30,26045,26090,25535,25645,23636
2025-12-19 00:00:00+05:30,25490,25715,25360,25600,47019
2025-12-22 00:00:00+05:30,25850,25850,25605,25710,13917
2025-12-23 00:00:00+05:30,25710,26150,25600,25940,46538
2025-12-24 00:00:00+05:30,25945,26190,25850,26145,18508
2025-12-26 00:00:00+05:30,26140,26490,26070,26420,46123
2025-12-29 00:00:00+05:30,26450,26450,26170,26275,57381
2025-12-30 00:00:00+05:30,26275,26405,26090,26340,137300
2025-12-31 00:00:00+05:30,26400,26635,26270,26575,24906
2026-01-01 00:00:00+05:30,26600,26865,26425,26835,9497
2026-01-02 00:00:00+05:30,26775,27095,26705,27045,36285
2026-01-05 00:00:00+05:30,27070,27690,27070,27645,23089
2026-01-06 00:00:00+05:30,27670,28090,27545,27670,35574
2026-01-07 00:00:00+05:30,27560,27665,27205,27320,22391
2026-01-08 00:00:00+05:30,27330,27360,26780,26850,17963
2026-01-09 00:00:00+05:30,26850,27085,26670,26950,33316
2026-01-12 00:00:00+05:30,26965,27245,26685,27165,22728
2026-01-13 00:00:00+05:30,27180,27400,26920,27155,16064
2026-01-14 00:00:00+05:30,26945,27670,26930,27550,37405
2026-01-16 00:00:00+05:30,27550,27900,27370,27840,32929
2026-01-19 00:00:00+05:30,27610,27980,27445,27510,10707
2026-01-20 00:00:00+05:30,27500,27915,27095,27225,42671
2026-01-21 00:00:00+05:30,27225,27450,26990,27370,25027
2026-01-22 00:00:00+05:30,27500,27715,27330,27430,14663
2026-01-23 00:00:00+05:30,27455,27555,26935,27000,24439
2026-01-27 00:00:00+05:30,27200,27720,27040,27220,32223
2026-01-28 00:00:00+05:30,27200,27550,27045,27480,18343
2026-01-29 00:00:00+05:30,27500,27500,26865,27055,28182
2026-01-30 00:00:00+05:30,27055,27200,26805,26985,42402
2026-02-01 00:00:00+05:30,27230,27230,26155,26385,26046
2026-02-02 00:00:00+05:30,26385,26850,26110,26800,42072
2026-02-03 00:00:00+05:30,27200,27435,26780,27020,51933
2026-02-04 00:00:00+05:30,27080,27525,26905,27350,25807
2026-02-05 00:00:00+05:30,27460,27545,27100,27225,38447
2026-02-06 00:00:00+05:30,27270,27430,27040,27330,14772
2026-02-09 00:00:00+05:30,26685,27260,26435,27145,74200
2026-02-10 00:00:00+05:30,27070,27090,26450,26525,38471
2026-02-11 00:00:00+05:30,26600,26850,26365,26805,25422
2026-02-12 00:00:00+05:30,26750,26800,26280,26340,28166
2026-02-13 00:00:00+05:30,26090,26255,25750,26130,27809
2026-02-16 00:00:00+05:30,25940,26375,25915,26315,11713
2026-02-17 00:00:00+05:30,26200,26440,26125,26370,12987
2026-02-18 00:00:00+05:30,26495,26780,26335,26635,24271
2026-02-19 00:00:00+05:30,26780,27150,26110,26215,32451
2026-02-20 00:00:00+05:30,26250,26700,25965,26510,16060
2026-02-23 00:00:00+05:30,26520,27045,26365,26550,24261
2026-02-24 00:00:00+05:30,26460,26790,26270,26525,28322
2026-02-25 00:00:00+05:30,26400,26980,26400,26865,16889
2026-02-26 00:00:00+05:30,26865,27020,26605,26745,12433
2026-02-27 00:00:00+05:30,26850,26865,25965,26075,45243
2026-03-02 00:00:00+05:30,25200,26215,25185,26125,28282
2026-03-04 00:00:00+05:30,25865,25865,24955,25355,37304
2026-03-05 00:00:00+05:30,25355,25520,24760,25200,37079
2026-03-06 00:00:00+05:30,25150,25275,24825,24875,19762
2026-03-09 00:00:00+05:30,24600,24600,23520,23590,37789
2026-03-10 00:00:00+05:30,23925,24245,23850,23960,69919
2026-03-11 00:00:00+05:30,24130,24130,23695,23740,44506
2026-03-12 00:00:00+05:30,23740,23740,23315,23500,40125
2026-03-13 00:00:00+05:30,23500,23505,22855,22965,48594
2026-03-16 00:00:00+05:30,22970,23470,22945,23315,43173
2026-03-17 00:00:00+05:30,23395,23780,23170,23675,15748
2026-03-18 00:00:00+05:30,23910,24000,23705,23925,16992
2026-03-19 00:00:00+05:30,23410,23645,23125,23335,20065
2026-03-20 00:00:00+05:30,23405,23710,23360,23535,29852
2026-03-23 00:00:00+05:30,23495,23495,22550,22725,36958
2026-03-24 00:00:00+05:30,23085,23475,22615,23325,39516
2026-03-25 00:00:00+05:30,23500,24355,23445,24230,19081
2026-03-27 00:00:00+05:30,24220,24220,23565,23705,52525
2026-03-30 00:00:00+05:30,23365,23625,22955,23020,81205
2026-04-01 00:00:00+05:30,23490,23510,23080,23265,19991
2026-04-02 00:00:00+05:30,22955,23265,22675,23125,20490
2026-04-06 00:00:00+05:30,23460,24015,22980,23695,31374
2026-04-07 00:00:00+05:30,23390,23525,23140,23350,57843
2026-04-08 00:00:00+05:30,24200,24700,23895,24360,31556
2026-04-09 00:00:00+05:30,24200,24320,23665,23990,103272
2026-04-10 00:00:00+05:30,23990,24495,23940,24340,75983
2026-04-13 00:00:00+05:30,23940,24395,23600,24300,24038
2026-04-15 00:00:00+05:30,24700,25150,24545,24965,82224
2026-04-16 00:00:00+05:30,25200,25275,24830,25110,34710
2026-04-17 00:00:00+05:30,25110,25325,25055,25290,16254
2026-04-20 00:00:00+05:30,25300,25520,25050,25490,35020
2026-04-21 00:00:00+05:30,25420,25890,25230,25540,8307
2026-04-22 00:00:00+05:30,25590,25800,25455,25735,11486
2026-04-23 00:00:00+05:30,25605,25850,25125,25470,15269
2026-04-24 00:00:00+05:30,25470,25550,24815,24950,11419
2026-04-27 00:00:00+05:30,25070,25465,25020,25125,35881
2026-04-28 00:00:00+05:30,25200,25230,24680,24890,29353
2026-04-29 00:00:00+05:30,25100,25355,24500,24555,11849
2026-04-30 00:00:00+05:30,24450,24450,23800,24195,32295
2026-05-04 00:00:00+05:30,24295,24900,24295,24740,12120
2026-05-05 00:00:00+05:30,24600,24990,24405,24845,19537
2026-05-06 00:00:00+05:30,25105,25200,24660,24975,52938
2026-05-07 00:00:00+05:30,25450,25990,25430,25595,58542
2026-05-08 00:00:00+05:30,25590,25590,25165,25435,30524
2026-05-11 00:00:00+05:30,25190,25385,25000,25205,11351
2026-05-12 00:00:00+05:30,25100,25325,24800,24860,19036
2026-05-13 00:00:00+05:30,24705,25285,24705,24995,13838
2026-05-14 00:00:00+05:30,25210,25300,24900,25025,14353
2026-05-15 00:00:00+05:30,25030,25385,24905,24970,6055
2026-05-18 00:00:00+05:30,24800,24905,24160,24475,14351
2026-05-19 00:00:00+05:30,24450,24585,24270,24425,16083
2026-05-20 00:00:00+05:30,24350,24545,23990,24420,13297
2026-05-21 00:00:00+05:30,24510,24870,24400,24605,11833
2026-05-22 00:00:00+05:30,24610,25030,24610,24785,13414
2026-05-25 00:00:00+05:30,24950,25425,24870,25355,11177
2026-05-26 00:00:00+05:30,25355,25395,24890,25180,17032
2026-05-27 00:00:00+05:30,25390,25600,25105,25400,7231
2026-05-29 00:00:00+05:30,25405,25575,25025,25275,86354
2026-06-01 00:00:00+05:30,25275,25295,24970,25060,38284
2026-06-02 00:00:00+05:30,24890,25255,24655,24995,22992
2026-06-03 00:00:00+05:30,24950,24960,24500,24775,26132
2026-06-04 00:00:00+05:30,24605,24805,24415,24485,28175
2026-06-05 00:00:00+05:30,24625,24690,24030,24085,22308
2026-06-08 00:00:00+05:30,24030,24090,23410,23535,45226
2026-06-09 00:00:00+05:30,23535,23625,23290,23415,51825
2026-06-10 00:00:00+05:30,23415,24125,23290,23850,55011
2026-06-11 00:00:00+05:30,23685,23830,23510,23700,20405
2026-06-12 00:00:00+05:30,23785,24315,23785,24175,19388
