date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,29.96,30.25,29.17,29.79,16836517
2025-06-17 00:00:00+05:30,29.79,30.37,29.7,29.81,13509465
2025-06-18 00:00:00+05:30,29.73,30.07,29.53,29.63,10412615
2025-06-19 00:00:00+05:30,29.6,29.88,28.8,29.04,19085209
2025-06-20 00:00:00+05:30,29.04,29.59,28.88,29.22,15782276
2025-06-23 00:00:00+05:30,28.9,29.25,28.8,29.09,13248158
2025-06-24 00:00:00+05:30,29.5,30.29,29.47,29.88,13108179
2025-06-25 00:00:00+05:30,29.95,30.65,29.93,30.57,16750343
2025-06-26 00:00:00+05:30,30.66,30.94,29.81,29.88,12234136
2025-06-27 00:00:00+05:30,30.25,30.43,29.88,30.07,16373997
2025-06-30 00:00:00+05:30,30.07,31.5,30.07,30.79,27779949
2025-07-01 00:00:00+05:30,31.0,31.73,30.55,31.6,25100486
2025-07-02 00:00:00+05:30,32.0,32.25,30.8,31.04,33544619
2025-07-03 00:00:00+05:30,31.1,31.25,30.62,30.7,10355161
2025-07-04 00:00:00+05:30,30.9,30.95,30.52,30.68,7290359
2025-07-07 00:00:00+05:30,30.64,30.89,30.32,30.4,6983103
2025-07-08 00:00:00+05:30,30.4,30.63,30.0,30.1,7785688
2025-07-09 00:00:00+05:30,30.19,30.44,29.85,30.26,7670025
2025-07-10 00:00:00+05:30,30.26,30.34,30.0,30.05,5202302
2025-07-11 00:00:00+05:30,30.0,30.25,29.8,30.0,7512716
2025-07-14 00:00:00+05:30,30.05,30.4,29.83,30.19,7246042
2025-07-15 00:00:00+05:30,30.31,31.15,30.26,30.63,12187226
2025-07-16 00:00:00+05:30,30.7,31.07,30.67,30.85,12351767
2025-07-17 00:00:00+05:30,31.09,31.34,30.26,30.63,28010112
2025-07-18 00:00:00+05:30,30.74,30.78,29.69,29.85,15290038
2025-07-21 00:00:00+05:30,29.9,29.9,28.91,29.08,17779331
2025-07-22 00:00:00+05:30,29.33,29.55,29.16,29.29,10535445
2025-07-23 00:00:00+05:30,29.34,29.59,29.15,29.5,6416260
2025-07-24 00:00:00+05:30,29.59,29.95,29.44,29.88,7595843
2025-07-25 00:00:00+05:30,29.88,29.89,29.56,29.73,9266854
2025-07-28 00:00:00+05:30,29.71,29.84,29.48,29.6,9229787
2025-07-29 00:00:00+05:30,29.6,29.78,29.26,29.62,8505003
2025-07-30 00:00:00+05:30,29.62,30.4,29.6,30.17,17290557
2025-07-31 00:00:00+05:30,29.72,29.93,29.35,29.71,6915204
2025-08-01 00:00:00+05:30,29.71,29.8,29.1,29.23,6311296
2025-08-04 00:00:00+05:30,29.23,29.4,28.8,28.9,7112365
2025-08-05 00:00:00+05:30,28.9,29.28,28.78,28.85,5015283
2025-08-06 00:00:00+05:30,29.04,29.18,28.35,28.96,9335888
2025-08-07 00:00:00+05:30,28.8,29.3,28.75,29.19,8674741
2025-08-08 00:00:00+05:30,29.09,29.55,28.98,29.2,7409458
2025-08-11 00:00:00+05:30,29.3,29.6,29.22,29.5,6883724
2025-08-12 00:00:00+05:30,29.65,29.95,29.57,29.86,7581090
2025-08-13 00:00:00+05:30,29.65,29.85,29.4,29.51,5704559
2025-08-14 00:00:00+05:30,29.76,30.15,28.87,29.3,8802453
2025-08-18 00:00:00+05:30,29.53,29.9,29.53,29.68,5018688
2025-08-19 00:00:00+05:30,29.65,29.9,29.51,29.82,11442599
2025-08-20 00:00:00+05:30,29.9,30.27,29.52,30.12,10071344
2025-08-21 00:00:00+05:30,30.23,30.25,29.68,29.77,5981612
2025-08-22 00:00:00+05:30,29.74,30.09,29.66,29.9,5700295
2025-08-25 00:00:00+05:30,29.88,30.02,29.7,29.74,4741251
2025-08-26 00:00:00+05:30,29.69,29.85,29.3,29.43,6415280
2025-08-28 00:00:00+05:30,29.26,29.4,29.0,29.27,6418400
2025-08-29 00:00:00+05:30,29.33,29.47,29.19,29.27,4947664
2025-09-01 00:00:00+05:30,29.3,29.67,29.3,29.44,4939036
2025-09-02 00:00:00+05:30,29.45,29.7,29.21,29.48,3662470
2025-09-03 00:00:00+05:30,29.48,29.66,29.4,29.46,2819938
2025-09-04 00:00:00+05:30,29.6,29.61,28.55,28.67,10860750
2025-09-05 00:00:00+05:30,28.67,28.97,28.11,28.59,7564844
