date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,30.09,30.26,29.41,29.8,6950390
2025-06-17 00:00:00+05:30,30.02,30.55,29.81,29.94,10730702
2025-06-18 00:00:00+05:30,30.12,30.12,29.37,29.44,7332703
2025-06-19 00:00:00+05:30,29.44,29.66,28.46,28.62,7307014
2025-06-20 00:00:00+05:30,28.59,29.1,28.32,28.98,5874966
2025-06-23 00:00:00+05:30,28.64,29.37,28.43,29.22,5909573
2025-06-24 00:00:00+05:30,29.49,29.92,29.42,29.54,4978963
2025-06-25 00:00:00+05:30,29.68,30.25,29.61,29.97,5536058
2025-06-26 00:00:00+05:30,30.42,31.47,30.42,30.95,38518912
2025-06-27 00:00:00+05:30,31.06,31.24,30.76,30.9,7978670
2025-06-30 00:00:00+05:30,30.97,31.05,30.6,30.68,5811232
2025-07-01 00:00:00+05:30,30.86,31.0,30.39,30.49,5581983
2025-07-02 00:00:00+05:30,30.46,30.51,29.98,30.11,6087889
2025-07-03 00:00:00+05:30,30.16,30.37,29.92,30.2,4521622
2025-07-04 00:00:00+05:30,30.36,30.84,30.14,30.61,8126451
2025-07-07 00:00:00+05:30,30.62,31.04,30.4,30.49,5265762
2025-07-08 00:00:00+05:30,30.75,32.43,30.69,31.63,88984934
2025-07-09 00:00:00+05:30,31.63,31.86,31.27,31.64,11441938
2025-07-10 00:00:00+05:30,31.72,31.8,31.31,31.44,6574674
2025-07-11 00:00:00+05:30,31.39,31.53,30.91,31.06,5513146
2025-07-14 00:00:00+05:30,31.06,31.1,30.47,30.56,5178910
2025-07-15 00:00:00+05:30,30.76,31.04,30.6,30.67,3695375
2025-07-16 00:00:00+05:30,30.72,31.17,30.66,30.73,3643015
2025-07-17 00:00:00+05:30,30.85,31.58,30.8,31.19,11929389
2025-07-18 00:00:00+05:30,31.34,31.48,30.72,30.84,5076950
2025-07-21 00:00:00+05:30,31.09,31.15,30.8,30.9,5031058
2025-07-22 00:00:00+05:30,31.05,31.11,29.17,29.75,11405437
2025-07-23 00:00:00+05:30,29.9,30.47,29.8,30.37,6999187
2025-07-24 00:00:00+05:30,30.56,31.25,30.38,30.89,12389268
2025-07-25 00:00:00+05:30,32.28,32.98,30.38,30.85,143915459
2025-07-28 00:00:00+05:30,30.92,31.24,29.9,30.08,17666501
2025-07-29 00:00:00+05:30,30.13,30.5,29.59,30.34,8075521
2025-07-30 00:00:00+05:30,30.37,30.55,29.98,30.06,6177817
2025-07-31 00:00:00+05:30,29.28,29.88,28.69,29.38,10686968
2025-08-01 00:00:00+05:30,29.44,29.48,28.0,28.31,9492370
2025-08-04 00:00:00+05:30,28.41,28.61,27.8,28.06,9697230
2025-08-05 00:00:00+05:30,28.27,28.53,27.81,27.88,6522231
2025-08-06 00:00:00+05:30,28.13,28.25,27.43,27.49,6156397
