date,open,high,low,close,volume
2025-06-16 00:00:00+05:30,11270,11518,11197,11495,401104
2025-06-17 00:00:00+05:30,11500,11509,11360,11383,121415
2025-06-18 00:00:00+05:30,11383,11479,11343,11406,156816
2025-06-19 00:00:00+05:30,11400,11485,11353,11420,157757
2025-06-20 00:00:00+05:30,11420,11525,11370,11458,629895
2025-06-23 00:00:00+05:30,11401,11490,11321,11449,304907
2025-06-24 00:00:00+05:30,11559,11824,11514,11579,735700
2025-06-25 00:00:00+05:30,11635,11771,11634,11733,253134
2025-06-26 00:00:00+05:30,11690,11986,11681,11951,506580
2025-06-27 00:00:00+05:30,11980,12246,11917,12213,501287
2025-06-30 00:00:00+05:30,12215,12271,12018,12093,333104
2025-07-01 00:00:00+05:30,12105,12225,12060,12210,207437
2025-07-02 00:00:00+05:30,12210,12527,12170,12436,445829
2025-07-03 00:00:00+05:30,12436,12575,12376,12398,275755
2025-07-04 00:00:00+05:30,12400,12542,12341,12506,191516
2025-07-07 00:00:00+05:30,12476,12500,12306,12345,149939
2025-07-08 00:00:00+05:30,12345,12495,12305,12445,219226
2025-07-09 00:00:00+05:30,12410,12580,12376,12562,379924
2025-07-10 00:00:00+05:30,12518,12667,12482,12516,269323
2025-07-11 00:00:00+05:30,12516,12637,12452,12495,240034
2025-07-14 00:00:00+05:30,12495,12579,12430,12516,278918
2025-07-15 00:00:00+05:30,12545,12545,12425,12502,154124
2025-07-16 00:00:00+05:30,12504,12515,12398,12453,156311
2025-07-17 00:00:00+05:30,12465,12548,12432,12495,166142
2025-07-18 00:00:00+05:30,12520,12558,12441,12498,98339
2025-07-21 00:00:00+05:30,12560,12714,12374,12577,512521
2025-07-22 00:00:00+05:30,12649,12699,12295,12452,533617
2025-07-23 00:00:00+05:30,12460,12515,12358,12372,189617
2025-07-24 00:00:00+05:30,12372,12399,12230,12304,180080
2025-07-25 00:00:00+05:30,12245,12345,12193,12250,290381
2025-07-28 00:00:00+05:30,12274,12368,12210,12240,214107
2025-07-29 00:00:00+05:30,12200,12262,12122,12221,208446
2025-07-30 00:00:00+05:30,12205,12381,12201,12268,185681
2025-07-31 00:00:00+05:30,12201,12329,12155,12249,150379
2025-08-01 00:00:00+05:30,12181,12289,12075,12113,212570
2025-08-04 00:00:00+05:30,12158,12290,12132,12257,207875
2025-08-05 00:00:00+05:30,12330,12378,12262,12298,267535
2025-08-06 00:00:00+05:30,12298,12390,12208,12226,192086
2025-08-07 00:00:00+05:30,12204,12309,12125,12273,202031
2025-08-08 00:00:00+05:30,12285,12315,12135,12157,201770
2025-08-11 00:00:00+05:30,12161,12425,12161,12405,218605
2025-08-12 00:00:00+05:30,12447,12530,12397,12449,334100
2025-08-13 00:00:00+05:30,12485,12517,12388,12401,207359
2025-08-14 00:00:00+05:30,12413,12428,12225,12317,235741
2025-08-18 00:00:00+05:30,12628,12904,12556,12765,808480
2025-08-19 00:00:00+05:30,12787,12880,12629,12863,351252
2025-08-20 00:00:00+05:30,12850,12930,12765,12874,290957
2025-08-21 00:00:00+05:30,12890,12906,12790,12870,155457
2025-08-22 00:00:00+05:30,12864,12864,12563,12589,226948
2025-08-25 00:00:00+05:30,12648,12731,12556,12606,199190
2025-08-26 00:00:00+05:30,12581,12770,12480,12610,290322
2025-08-28 00:00:00+05:30,12570,12648,12472,12521,283677
2025-08-29 00:00:00+05:30,12521,12729,12521,12640,177858
2025-09-01 00:00:00+05:30,12639,12852,12636,12826,214241
2025-09-02 00:00:00+05:30,12788,12848,12687,12730,214101
2025-09-03 00:00:00+05:30,12700,12770,12657,12733,140022
2025-09-04 00:00:00+05:30,13000,13097,12634,12651,305040
2025-09-05 00:00:00+05:30,12680,12738,12530,12601,153774
2025-09-08 00:00:00+05:30,12601,12743,12601,12664,126448
2025-09-09 00:00:00+05:30,12699,12708,12533,12572,240234
2025-09-10 00:00:00+05:30,12625,12626,12420,12478,175576
2025-09-11 00:00:00+05:30,12478,12517,12360,12392,132660
2025-09-12 00:00:00+05:30,12396,12479,12343,12370,153086
2025-09-15 00:00:00+05:30,12370,12481,12324,12435,179530
2025-09-16 00:00:00+05:30,12497,12599,12446,12578,189043
2025-09-17 00:00:00+05:30,12678,12800,12614,12721,264319
2025-09-18 00:00:00+05:30,12730,12749,12562,12626,190079
2025-09-19 00:00:00+05:30,12602,12644,12484,12508,571670
2025-09-22 00:00:00+05:30,12547,12706,12542,12650,499548
2025-09-23 00:00:00+05:30,12650,12698,12361,12401,403638
2025-09-24 00:00:00+05:30,12427,12448,12200,12214,166517
2025-09-25 00:00:00+05:30,12210,12275,12120,12141,272540
2025-09-26 00:00:00+05:30,12140,12199,11990,12070,181541
2025-09-29 00:00:00+05:30,12100,12146,11962,12041,214806
2025-09-30 00:00:00+05:30,12041,12261,12041,12222,279155
2025-10-01 00:00:00+05:30,12274,12274,12071,12095,129528
2025-10-03 00:00:00+05:30,12095,12139,11982,12019,258411
2025-10-06 00:00:00+05:30,12019,12100,11991,12055,106362
2025-10-07 00:00:00+05:30,12059,12210,12025,12184,225472
2025-10-08 00:00:00+05:30,12150,12182,11940,11991,173973
2025-10-09 00:00:00+05:30,11991,12211,11973,12192,171737
2025-10-10 00:00:00+05:30,12180,12324,12111,12281,198464
2025-10-13 00:00:00+05:30,12225,12249,12150,12172,87745
